SPT	0.6765	0.2390	0.0844	OPE	5	1
BRU	0.4633	0.3182	0.2186	CRB	0	0
NOV	0.3685	0.3321	0.2993	CRU	1	4
LEC	0.4888	0.3120	0.1991	ITU	0	2
VAS	0.5814	0.2819	0.1367	SCO	2	3
BAH	0.5995	0.2747	0.1259	GUA	1	1
TOM	0.3738	0.3318	0.2944	GRE	2	2
CHA	0.7042	0.2243	0.0715	NAU	1	0
GUA	0.5476	0.2943	0.1582	CHA	1	0
CRB	0.4277	0.3251	0.2472	BAH	1	2
NAU	0.3180	0.3331	0.3489	PON	0	1
CRI	0.6186	0.2665	0.1148	TOM	2	0
ITU	0.5239	0.3020	0.1741	VAS	0	1
OPE	0.3923	0.3300	0.2777	NOV	0	3
GRE	0.7188	0.2162	0.0650	BRU	3	0
SCO	0.5807	0.2822	0.1371	LEC	2	1
CRU	0.7300	0.2097	0.0603	CSA	3	2
VNO	0.4459	0.3218	0.2323	SPT	0	0
